Customer ID,Recency,Frequency,Monetary,City,R_Score,F_Score,M_Score,RFM_Score,Cluster,Segment_Name
12428.0,21,9,7956.46,Casablanca,1,4,4,144,2,Clients à Risque / Perdus
12429.0,4,8,7485.91,Casablanca,1,4,4,144,2,Clients à Risque / Perdus
12430.0,38,1,256.4,Marrakech,2,1,1,211,2,Clients à Risque / Perdus
12431.0,31,27,10857.97,Rabat,2,4,4,244,2,Clients à Risque / Perdus
12432.0,38,5,5059.32,Casablanca,2,3,4,234,2,Clients à Risque / Perdus
12433.0,4,8,17942.57,Marrakech,1,4,4,144,2,Clients à Risque / Perdus
12434.0,80,3,1103.43,Kenitra,2,2,3,223,2,Clients à Risque / Perdus
12435.0,75,6,13925.93,Tanger,2,3,4,234,2,Clients à Risque / Perdus
12436.0,95,1,509.01,Rabat,2,1,2,212,2,Clients à Risque / Perdus
12437.0,4,38,12517.5,Rabat,1,4,4,144,2,Clients à Risque / Perdus
12438.0,9,2,2906.85,Marrakech,1,2,4,124,2,Clients à Risque / Perdus
12439.0,678,2,1158.18,Agadir,4,2,3,423,0,Clients Réguliers
12440.0,458,2,859.2,Casablanca,4,2,2,422,0,Clients Réguliers
12441.0,362,1,347.1,Rabat,3,1,2,312,0,Clients Réguliers
12443.0,727,1,485.31,Casablanca,4,1,2,412,0,Clients Réguliers
12444.0,16,5,5005.46,Oujda,1,3,4,134,2,Clients à Risque / Perdus
12445.0,17,2,434.98,Marrakech,1,2,2,122,2,Clients à Risque / Perdus
12446.0,53,1,1002.3100000000001,Rabat,2,1,3,213,2,Clients à Risque / Perdus
12447.0,238,1,476.49,Marrakech,3,1,2,312,2,Clients à Risque / Perdus
12448.0,39,1,449.45,Rabat,2,1,2,212,2,Clients à Risque / Perdus
12449.0,17,6,4835.89,Tanger,1,3,4,134,2,Clients à Risque / Perdus
12450.0,151,5,688.2,Casablanca,3,3,2,332,2,Clients à Risque / Perdus
12451.0,6,8,12669.88,El Jadida,1,4,4,144,2,Clients à Risque / Perdus
12452.0,12,2,430.57,Tétouan,1,2,2,122,2,Clients à Risque / Perdus
12453.0,129,1,707.09,Meknès,3,1,2,312,2,Clients à Risque / Perdus
12454.0,51,5,16679.78,Marrakech,2,3,4,234,2,Clients à Risque / Perdus
12455.0,68,10,5879.95,Tanger,2,4,4,244,2,Clients à Risque / Perdus
12456.0,39,3,3181.04,Tanger,2,2,4,224,2,Clients à Risque / Perdus
12457.0,62,8,2995.91,Agadir,2,4,4,244,2,Clients à Risque / Perdus
12458.0,66,4,1777.49,Rabat,2,3,3,233,2,Clients à Risque / Perdus
12459.0,600,1,454.36,Rabat,4,1,2,412,0,Clients Réguliers
12460.0,451,1,326.65,Rabat,4,1,1,411,0,Clients Réguliers
12461.0,89,2,826.88,Marrakech,2,2,2,222,2,Clients à Risque / Perdus
12462.0,14,2,1189.59,Marrakech,1,2,3,123,2,Clients à Risque / Perdus
12463.0,48,4,1344.78,Marrakech,2,3,3,233,2,Clients à Risque / Perdus
12464.0,5,8,1212.05,Casablanca,1,4,3,143,2,Clients à Risque / Perdus
12465.0,12,2,742.1899999999999,Tétouan,1,2,2,122,2,Clients à Risque / Perdus
12466.0,677,1,56.73,Tanger,4,1,1,411,0,Clients Réguliers
12467.0,418,1,132.8,Marrakech,4,1,1,411,0,Clients Réguliers
12468.0,183,5,3670.74,Casablanca,3,3,4,334,2,Clients à Risque / Perdus
12469.0,518,2,3070.54,Rabat,4,2,4,424,0,Clients Réguliers
12470.0,685,1,211.95,Oujda,4,1,1,411,0,Clients Réguliers
12471.0,6,78,37725.28,Agadir,1,4,4,144,1,VIP / Champions
12472.0,27,19,17880.59,Rabat,2,4,4,244,2,Clients à Risque / Perdus
12473.0,24,5,3938.5499999999997,Agadir,1,3,4,134,2,Clients à Risque / Perdus
12474.0,12,31,12424.45,Marrakech,1,4,4,144,2,Clients à Risque / Perdus
12475.0,49,2,1149.64,Casablanca,2,2,3,223,2,Clients à Risque / Perdus
12476.0,11,23,14115.41,Casablanca,1,4,4,144,2,Clients à Risque / Perdus
12477.0,18,9,20276.37,Rabat,1,4,4,144,2,Clients à Risque / Perdus
12479.0,6,1,527.2,El Jadida,1,1,2,112,2,Clients à Risque / Perdus
12480.0,23,7,5464.85,Casablanca,1,3,4,134,2,Clients à Risque / Perdus
12481.0,18,15,12361.39,Casablanca,1,4,4,144,2,Clients à Risque / Perdus
12482.0,571,29,23691.4,Casablanca,4,4,4,444,0,Clients Réguliers
12483.0,12,19,5120.58,Rabat,1,4,4,144,2,Clients à Risque / Perdus
12484.0,28,12,6370.15,Marrakech,2,4,4,244,2,Clients à Risque / Perdus
12485.0,524,1,708.1,Marrakech,4,1,2,412,0,Clients Réguliers
12486.0,427,1,1037.28,Marrakech,4,1,3,413,0,Clients Réguliers
12487.0,726,1,285.29999999999995,El Jadida,4,1,1,411,0,Clients Réguliers
12488.0,5,3,1298.66,Rabat,1,2,3,123,2,Clients à Risque / Perdus
12489.0,332,1,334.93,Marrakech,3,1,1,311,0,Clients Réguliers
12490.0,13,20,9361.34,Meknès,1,4,4,144,2,Clients à Risque / Perdus
12491.0,34,1,460.40000000000003,Marrakech,2,1,2,212,2,Clients à Risque / Perdus
12492.0,58,3,715.21,Casablanca,2,2,2,222,2,Clients à Risque / Perdus
12493.0,161,2,433.74,Oujda,3,2,2,322,2,Clients à Risque / Perdus
12494.0,11,9,1872.8700000000001,Tanger,1,4,3,143,2,Clients à Risque / Perdus
12495.0,636,1,357.4,Casablanca,4,1,2,412,0,Clients Réguliers
12496.0,615,2,54.09,Tanger,4,2,1,421,0,Clients Réguliers
12497.0,77,3,6248.5,Oujda,2,2,4,224,2,Clients à Risque / Perdus
12498.0,17,3,403.70000000000005,Tanger,1,2,2,122,2,Clients à Risque / Perdus
12499.0,555,1,393.72,Casablanca,4,1,2,412,0,Clients Réguliers
12500.0,18,19,5955.21,El Jadida,1,4,4,144,2,Clients à Risque / Perdus
12501.0,332,1,2169.39,Marrakech,3,1,3,313,0,Clients Réguliers
12502.0,91,5,3723.87,Casablanca,2,3,4,234,2,Clients à Risque / Perdus
12503.0,579,1,1126.0,Casablanca,4,1,3,413,0,Clients Réguliers
12504.0,13,4,779.05,Tétouan,1,3,2,132,2,Clients à Risque / Perdus
12505.0,404,1,955.2,Casablanca,4,1,3,413,0,Clients Réguliers
12506.0,228,1,73.5,Tanger,3,1,1,311,2,Clients à Risque / Perdus
12507.0,129,4,1844.06,Marrakech,3,3,3,333,2,Clients à Risque / Perdus
12508.0,21,2,398.27,Meknès,1,2,2,122,2,Clients à Risque / Perdus
12509.0,279,1,176.5,Tanger,3,1,1,311,0,Clients Réguliers
12510.0,138,9,5178.02,Fès,3,4,4,344,2,Clients à Risque / Perdus
12511.0,424,1,3084.02,Casablanca,4,1,4,414,0,Clients Réguliers
12512.0,61,2,138.03,Rabat,2,2,1,221,2,Clients à Risque / Perdus
12513.0,108,1,612.29,Agadir,3,1,2,312,2,Clients à Risque / Perdus
12514.0,262,2,1597.76,Rabat,3,2,3,323,0,Clients Réguliers
12515.0,348,1,383.7,Marrakech,3,1,2,312,0,Clients Réguliers
12516.0,73,4,2648.62,Casablanca,2,3,4,234,2,Clients à Risque / Perdus
12517.0,23,5,2502.84,Rabat,1,3,4,134,2,Clients à Risque / Perdus
12518.0,24,4,1717.75,Tanger,1,3,3,133,2,Clients à Risque / Perdus
12519.0,59,2,726.54,Agadir,2,2,2,222,2,Clients à Risque / Perdus
12520.0,74,5,2634.26,Rabat,2,3,4,234,2,Clients à Risque / Perdus
12521.0,138,1,599.68,Marrakech,3,1,2,312,2,Clients à Risque / Perdus
12522.0,34,2,192.72,Fès,2,2,1,221,2,Clients à Risque / Perdus
12523.0,15,23,4372.15,Rabat,1,4,4,144,2,Clients à Risque / Perdus
12524.0,4,17,11126.11,Tanger,1,4,4,144,2,Clients à Risque / Perdus
12525.0,493,3,973.73,Casablanca,4,2,3,423,0,Clients Réguliers
12526.0,49,2,1039.58,Fès,2,2,3,223,2,Clients à Risque / Perdus
12527.0,77,5,735.51,Casablanca,2,3,2,232,2,Clients à Risque / Perdus
12528.0,4,6,1933.48,Oujda,1,3,3,133,2,Clients à Risque / Perdus
12529.0,524,1,316.48,El Jadida,4,1,1,411,0,Clients Réguliers
12530.0,55,9,3759.26,Meknès,2,4,4,244,2,Clients à Risque / Perdus
12531.0,10,2,1933.2,Marrakech,1,2,3,123,2,Clients à Risque / Perdus
12532.0,25,1,349.83000000000004,Rabat,1,1,2,112,2,Clients à Risque / Perdus
12533.0,623,2,1367.89,Casablanca,4,2,3,423,0,Clients Réguliers
12534.0,126,1,1089.18,Casablanca,3,1,3,313,2,Clients à Risque / Perdus
12535.0,87,2,716.35,Casablanca,2,2,2,222,2,Clients à Risque / Perdus
12536.0,38,3,12601.830000000002,Tétouan,2,2,4,224,2,Clients à Risque / Perdus
12537.0,404,1,732.94,Casablanca,4,1,2,412,0,Clients Réguliers
12538.0,24,2,640.45,Fès,1,2,2,122,2,Clients à Risque / Perdus
12539.0,17,7,11214.75,Agadir,1,3,4,134,2,Clients à Risque / Perdus
12540.0,15,33,22254.49,Tétouan,1,4,4,144,2,Clients à Risque / Perdus
12541.0,25,3,981.18,Fès,1,2,3,123,2,Clients à Risque / Perdus
12542.0,479,2,481.88,Agadir,4,2,2,422,0,Clients Réguliers
12543.0,443,1,980.25,Marrakech,4,1,3,413,0,Clients Réguliers
12544.0,31,1,372.7,Rabat,2,1,2,212,2,Clients à Risque / Perdus
12545.0,70,2,1000.39,El Jadida,2,2,3,223,2,Clients à Risque / Perdus
12546.0,42,2,1161.5,Marrakech,2,2,3,223,2,Clients à Risque / Perdus
12547.0,193,3,383.58,Rabat,3,2,2,322,2,Clients à Risque / Perdus
12548.0,161,1,95.19999999999999,Rabat,3,1,1,311,2,Clients à Risque / Perdus
12549.0,571,6,1575.68,Tanger,4,3,3,433,0,Clients Réguliers
12550.0,74,1,964.83,Marrakech,2,1,3,213,2,Clients à Risque / Perdus
12551.0,353,1,168.0,Meknès,3,1,1,311,0,Clients Réguliers
12552.0,34,2,437.82,Tanger,2,2,2,222,2,Clients à Risque / Perdus
12553.0,3,12,4608.75,Rabat,1,4,4,144,2,Clients à Risque / Perdus
12554.0,444,1,468.5,Kenitra,4,1,2,412,0,Clients Réguliers
12555.0,677,1,129.23,Casablanca,4,1,1,411,0,Clients Réguliers
12556.0,46,2,603.71,Rabat,2,2,2,222,2,Clients à Risque / Perdus
12557.0,11,8,18716.14,Casablanca,1,4,4,144,2,Clients à Risque / Perdus
12558.0,3,1,269.96,Tétouan,1,1,1,111,2,Clients à Risque / Perdus
12559.0,306,2,561.71,Agadir,3,2,2,322,0,Clients Réguliers
12560.0,107,2,1436.31,Rabat,3,2,3,323,2,Clients à Risque / Perdus
12561.0,298,1,238.85,Tanger,3,1,1,311,0,Clients Réguliers
12562.0,3,9,4966.92,Tanger,1,4,4,144,2,Clients à Risque / Perdus
12563.0,404,1,249.24,Meknès,4,1,1,411,0,Clients Réguliers
12564.0,256,1,456.9,Casablanca,3,1,2,312,0,Clients Réguliers
12565.0,284,1,145.92,Tanger,3,1,1,311,0,Clients Réguliers
12566.0,81,1,351.65,Agadir,2,1,2,212,2,Clients à Risque / Perdus
12567.0,18,15,13709.86,Rabat,1,4,4,144,2,Clients à Risque / Perdus
12568.0,640,1,70.0,Casablanca,4,1,1,411,0,Clients Réguliers
12569.0,3,28,3704.86,Meknès,1,4,4,144,2,Clients à Risque / Perdus
12570.0,677,1,77.52,Marrakech,4,1,1,411,0,Clients Réguliers
12571.0,35,2,519.61,Casablanca,2,2,2,222,2,Clients à Risque / Perdus
12572.0,4,2,1020.42,Fès,1,2,3,123,2,Clients à Risque / Perdus
12573.0,222,5,717.41,Marrakech,3,3,2,332,2,Clients à Risque / Perdus
12574.0,311,1,218.45,Casablanca,3,1,1,311,0,Clients Réguliers
12575.0,453,2,622.8199999999999,Casablanca,4,2,2,422,0,Clients Réguliers
12576.0,31,8,2142.72,Rabat,2,4,3,243,2,Clients à Risque / Perdus
12577.0,30,8,1653.75,Casablanca,2,4,3,243,2,Clients à Risque / Perdus
12578.0,16,4,4642.45,Casablanca,1,3,4,134,2,Clients à Risque / Perdus
12579.0,73,1,440.42,Casablanca,2,1,2,212,2,Clients à Risque / Perdus
12580.0,242,2,1052.9,Casablanca,3,2,3,323,2,Clients à Risque / Perdus
12581.0,35,1,197.71,Casablanca,2,1,1,211,2,Clients à Risque / Perdus
12582.0,234,4,1980.4,Kenitra,3,3,3,333,2,Clients à Risque / Perdus
12583.0,14,26,13752.67,Tanger,1,4,4,144,2,Clients à Risque / Perdus
12584.0,13,8,2137.7000000000003,Oujda,1,4,3,143,2,Clients à Risque / Perdus
12585.0,229,2,2040.1,Rabat,3,2,3,323,2,Clients à Risque / Perdus
12586.0,12,4,2062.67,Agadir,1,3,3,133,2,Clients à Risque / Perdus
12587.0,3,1,144.0,Rabat,1,1,1,111,2,Clients à Risque / Perdus
12588.0,34,4,958.78,Marrakech,2,3,3,233,2,Clients à Risque / Perdus
12589.0,24,8,4695.66,Meknès,1,4,4,144,2,Clients à Risque / Perdus
12590.0,206,2,9864.26,Marrakech,3,2,4,324,2,Clients à Risque / Perdus
12591.0,312,3,1352.15,Tanger,3,2,3,323,0,Clients Réguliers
12592.0,87,5,2582.66,Agadir,2,3,4,234,2,Clients à Risque / Perdus
12593.0,104,3,418.09999999999997,Tanger,3,2,2,322,2,Clients à Risque / Perdus
12594.0,33,15,5090.110000000001,Fès,2,4,4,244,2,Clients à Risque / Perdus
12595.0,500,1,299.02,Meknès,4,1,1,411,0,Clients Réguliers
12596.0,47,2,618.27,Marrakech,2,2,2,222,2,Clients à Risque / Perdus
12597.0,14,4,3811.22,Casablanca,1,3,4,134,2,Clients à Risque / Perdus
12598.0,5,11,4534.09,Marrakech,1,4,4,144,2,Clients à Risque / Perdus
12599.0,24,13,2296.72,Marrakech,1,4,4,144,2,Clients à Risque / Perdus
12600.0,24,21,5043.92,Tanger,1,4,4,144,2,Clients à Risque / Perdus
12601.0,185,6,681.26,Marrakech,3,3,2,332,2,Clients à Risque / Perdus
12602.0,54,1,153.12,Casablanca,2,1,1,211,2,Clients à Risque / Perdus
12603.0,17,1,739.1999999999999,Casablanca,1,1,2,112,2,Clients à Risque / Perdus
12604.0,74,2,254.18,Marrakech,2,2,1,221,2,Clients à Risque / Perdus
12605.0,371,4,1232.95,Kenitra,3,3,3,333,0,Clients Réguliers
12606.0,677,1,21.0,Agadir,4,1,1,411,0,Clients Réguliers
12607.0,55,1,1579.51,Marrakech,2,1,3,213,2,Clients à Risque / Perdus
12608.0,400,1,415.79,Rabat,4,1,2,412,0,Clients Réguliers
12609.0,73,9,3435.86,Casablanca,2,4,4,244,2,Clients à Risque / Perdus
12610.0,18,5,2099.54,Agadir,1,3,3,133,2,Clients à Risque / Perdus
12611.0,48,1,1193.32,Rabat,2,1,3,213,2,Clients à Risque / Perdus
12612.0,69,1,704.0400000000001,Casablanca,2,1,2,212,2,Clients à Risque / Perdus
12613.0,52,10,6835.07,Tanger,2,4,4,244,2,Clients à Risque / Perdus
12614.0,273,1,315.6,Agadir,3,1,1,311,0,Clients Réguliers
12615.0,32,7,5318.13,Fès,2,3,4,234,2,Clients à Risque / Perdus
12616.0,90,3,1131.1,Fès,2,2,3,223,2,Clients à Risque / Perdus
12617.0,24,1,355.53,Kenitra,1,1,2,112,2,Clients à Risque / Perdus
12618.0,17,1,177.31,Tanger,1,1,1,111,2,Clients à Risque / Perdus
12619.0,11,10,3781.38,Casablanca,1,4,4,144,2,Clients à Risque / Perdus
12620.0,10,3,1339.41,Rabat,1,2,3,123,2,Clients à Risque / Perdus
12621.0,19,34,23587.61,Casablanca,1,4,4,144,2,Clients à Risque / Perdus
12622.0,227,1,180.1,Fès,3,1,1,311,2,Clients à Risque / Perdus
12623.0,271,7,3747.84,Marrakech,3,3,4,334,2,Clients à Risque / Perdus
12624.0,101,2,641.13,Tétouan,2,2,2,222,2,Clients à Risque / Perdus
12625.0,207,4,5164.88,Agadir,3,3,4,334,2,Clients à Risque / Perdus
12626.0,18,9,6620.48,Casablanca,1,4,4,144,2,Clients à Risque / Perdus
12627.0,6,7,4478.53,Casablanca,1,3,4,134,2,Clients à Risque / Perdus
12628.0,28,2,571.21,Casablanca,2,2,2,222,2,Clients à Risque / Perdus
12629.0,381,2,1558.22,Rabat,4,2,3,423,0,Clients Réguliers
12630.0,5,2,1270.88,Casablanca,1,2,3,123,2,Clients à Risque / Perdus
12631.0,52,6,3481.57,Meknès,2,3,4,234,2,Clients à Risque / Perdus
12632.0,516,2,804.88,Casablanca,4,2,2,422,0,Clients Réguliers
12633.0,54,7,5678.16,Agadir,2,3,4,234,2,Clients à Risque / Perdus
12634.0,531,2,490.0,Casablanca,4,2,2,422,0,Clients Réguliers
12635.0,85,4,2930.41,Agadir,2,3,4,234,2,Clients à Risque / Perdus
12636.0,734,1,141.0,Casablanca,4,1,1,411,0,Clients Réguliers
12637.0,62,12,8340.31,Casablanca,2,4,4,244,2,Clients à Risque / Perdus
12638.0,29,2,921.49,Marrakech,2,2,3,223,2,Clients à Risque / Perdus
12639.0,234,3,1312.37,Marrakech,3,2,3,323,2,Clients à Risque / Perdus
12640.0,19,3,1174.58,Kenitra,1,2,3,123,2,Clients à Risque / Perdus
12641.0,110,1,185.9,Casablanca,3,1,1,311,2,Clients à Risque / Perdus
12642.0,20,3,1013.26,Casablanca,1,2,3,123,2,Clients à Risque / Perdus
12643.0,124,12,8350.42,Tanger,3,4,4,344,2,Clients à Risque / Perdus
12644.0,125,4,1918.49,Rabat,3,3,3,333,2,Clients à Risque / Perdus
12645.0,29,8,3539.3,Casablanca,2,4,4,244,2,Clients à Risque / Perdus
12646.0,45,1,731.6899999999999,Marrakech,2,1,2,212,2,Clients à Risque / Perdus
12647.0,18,36,17924.35,Tanger,1,4,4,144,2,Clients à Risque / Perdus
12648.0,150,4,1112.0,Tanger,3,3,3,333,2,Clients à Risque / Perdus
12649.0,102,8,2294.65,Casablanca,3,4,4,344,2,Clients à Risque / Perdus
12651.0,330,4,377.75,Marrakech,3,3,2,332,0,Clients Réguliers
12652.0,326,2,1017.03,Fès,3,2,3,323,0,Clients Réguliers
12653.0,144,3,4160.83,Fès,3,2,4,324,2,Clients à Risque / Perdus
12654.0,6,5,601.98,El Jadida,1,3,2,132,2,Clients à Risque / Perdus
12655.0,419,1,261.35,Tanger,4,1,1,411,0,Clients Réguliers
12656.0,12,8,6407.83,Agadir,1,4,4,144,2,Clients à Risque / Perdus
12657.0,6,4,1643.18,Rabat,1,3,3,133,2,Clients à Risque / Perdus
12658.0,14,1,686.05,Kenitra,1,1,2,112,2,Clients à Risque / Perdus
12659.0,25,1,91.68,Tanger,1,1,1,111,2,Clients à Risque / Perdus
12660.0,6,1,245.1,Oujda,1,1,1,111,2,Clients à Risque / Perdus
12661.0,431,1,162.0,Casablanca,4,1,1,411,0,Clients Réguliers
12662.0,18,19,6763.07,Casablanca,1,4,4,144,2,Clients à Risque / Perdus
12663.0,620,2,239.4,Agadir,4,2,1,421,0,Clients Réguliers
12664.0,3,11,6070.04,Casablanca,1,4,4,144,2,Clients à Risque / Perdus
12665.0,320,3,313.6,Rabat,3,2,1,321,0,Clients Réguliers
12666.0,389,1,1248.42,El Jadida,4,1,3,413,0,Clients Réguliers
12667.0,53,1,620.13,Marrakech,2,1,2,212,2,Clients à Risque / Perdus
12668.0,7,10,11444.68,El Jadida,1,4,4,144,2,Clients à Risque / Perdus
12669.0,146,3,2744.0299999999997,Agadir,3,2,4,324,2,Clients à Risque / Perdus
12670.0,5,7,3760.29,Meknès,1,3,4,134,2,Clients à Risque / Perdus
12671.0,601,1,2622.481,Agadir,4,1,4,414,0,Clients Réguliers
12672.0,325,2,437.05,Marrakech,3,2,2,322,0,Clients Réguliers
12673.0,322,2,840.4,Casablanca,3,2,2,322,0,Clients Réguliers
12674.0,34,4,1970.6,Casablanca,2,3,3,233,2,Clients à Risque / Perdus
12675.0,549,2,958.5,Kenitra,4,2,3,423,0,Clients Réguliers
12676.0,20,11,2843.09,Casablanca,1,4,4,144,2,Clients à Risque / Perdus
12677.0,550,2,395.1,Casablanca,4,2,2,422,0,Clients Réguliers
12678.0,38,21,34281.18,Agadir,2,4,4,244,2,Clients à Risque / Perdus
12679.0,54,4,1113.02,Fès,2,3,3,233,2,Clients à Risque / Perdus
12680.0,69,3,613.36,Casablanca,2,2,2,222,2,Clients à Risque / Perdus
12681.0,10,45,30868.28,Agadir,1,4,4,144,2,Clients à Risque / Perdus
12682.0,4,51,23397.28,Rabat,1,4,4,144,2,Clients à Risque / Perdus
12683.0,45,19,11899.3,Fès,2,4,4,244,2,Clients à Risque / Perdus
12684.0,3,7,2283.63,Casablanca,1,3,3,133,2,Clients à Risque / Perdus
12685.0,23,6,2863.08,Rabat,1,3,4,134,2,Clients à Risque / Perdus
12686.0,367,1,178.28,Marrakech,3,1,1,311,0,Clients Réguliers
12687.0,476,2,2138.91,Rabat,4,2,3,423,0,Clients Réguliers
