Recency,Frequency,Monetary,City,R_Score,F_Score,M_Score,RFM_Score,Cluster,Segment_Name
46,2,603.71,Rabat,2,2,2,222,2,Clients à Risque / Perdus
11,8,18716.14,Casablanca,1,4,4,144,2,Clients à Risque / Perdus
3,1,269.96,Tétouan,1,1,1,111,2,Clients à Risque / Perdus
306,2,561.71,Agadir,3,2,2,322,0,Clients Réguliers
107,2,1436.31,Rabat,3,2,3,323,2,Clients à Risque / Perdus
298,1,238.85,Tanger,3,1,1,311,0,Clients Réguliers
3,9,4966.92,Tanger,1,4,4,144,2,Clients à Risque / Perdus
404,1,249.24,Meknès,4,1,1,411,0,Clients Réguliers
256,1,456.9,Casablanca,3,1,2,312,0,Clients Réguliers
284,1,145.92,Tanger,3,1,1,311,0,Clients Réguliers
81,1,351.65,Agadir,2,1,2,212,2,Clients à Risque / Perdus
18,15,13709.86,Rabat,1,4,4,144,2,Clients à Risque / Perdus
640,1,70.0,Casablanca,4,1,1,411,0,Clients Réguliers
3,28,3704.86,Meknès,1,4,4,144,2,Clients à Risque / Perdus
677,1,77.52,Marrakech,4,1,1,411,0,Clients Réguliers
35,2,519.61,Casablanca,2,2,2,222,2,Clients à Risque / Perdus
4,2,1020.42,Fès,1,2,3,123,2,Clients à Risque / Perdus
222,5,717.41,Marrakech,3,3,2,332,2,Clients à Risque / Perdus
311,1,218.45,Casablanca,3,1,1,311,0,Clients Réguliers
453,2,622.8199999999999,Casablanca,4,2,2,422,0,Clients Réguliers
31,8,2142.72,Rabat,2,4,3,243,2,Clients à Risque / Perdus
30,8,1653.75,Casablanca,2,4,3,243,2,Clients à Risque / Perdus
16,4,4642.45,Casablanca,1,3,4,134,2,Clients à Risque / Perdus
73,1,440.42,Casablanca,2,1,2,212,2,Clients à Risque / Perdus
242,2,1052.9,Casablanca,3,2,3,323,2,Clients à Risque / Perdus
35,1,197.71,Casablanca,2,1,1,211,2,Clients à Risque / Perdus
234,4,1980.4,Kenitra,3,3,3,333,2,Clients à Risque / Perdus
14,26,13752.67,Tanger,1,4,4,144,2,Clients à Risque / Perdus
13,8,2137.7000000000003,Oujda,1,4,3,143,2,Clients à Risque / Perdus
229,2,2040.1,Rabat,3,2,3,323,2,Clients à Risque / Perdus
12,4,2062.67,Agadir,1,3,3,133,2,Clients à Risque / Perdus
3,1,144.0,Rabat,1,1,1,111,2,Clients à Risque / Perdus
34,4,958.78,Marrakech,2,3,3,233,2,Clients à Risque / Perdus
24,8,4695.66,Meknès,1,4,4,144,2,Clients à Risque / Perdus
206,2,9864.26,Marrakech,3,2,4,324,2,Clients à Risque / Perdus
312,3,1352.15,Tanger,3,2,3,323,0,Clients Réguliers
87,5,2582.66,Agadir,2,3,4,234,2,Clients à Risque / Perdus
104,3,418.09999999999997,Tanger,3,2,2,322,2,Clients à Risque / Perdus
33,15,5090.110000000001,Fès,2,4,4,244,2,Clients à Risque / Perdus
500,1,299.02,Meknès,4,1,1,411,0,Clients Réguliers
47,2,618.27,Marrakech,2,2,2,222,2,Clients à Risque / Perdus
14,4,3811.22,Casablanca,1,3,4,134,2,Clients à Risque / Perdus
5,11,4534.09,Marrakech,1,4,4,144,2,Clients à Risque / Perdus
24,13,2296.72,Marrakech,1,4,4,144,2,Clients à Risque / Perdus
24,21,5043.92,Tanger,1,4,4,144,2,Clients à Risque / Perdus
185,6,681.26,Marrakech,3,3,2,332,2,Clients à Risque / Perdus
54,1,153.12,Casablanca,2,1,1,211,2,Clients à Risque / Perdus
17,1,739.1999999999999,Casablanca,1,1,2,112,2,Clients à Risque / Perdus
74,2,254.18,Marrakech,2,2,1,221,2,Clients à Risque / Perdus
371,4,1232.95,Kenitra,3,3,3,333,0,Clients Réguliers
677,1,21.0,Agadir,4,1,1,411,0,Clients Réguliers
55,1,1579.51,Marrakech,2,1,3,213,2,Clients à Risque / Perdus
400,1,415.79,Rabat,4,1,2,412,0,Clients Réguliers
73,9,3435.86,Casablanca,2,4,4,244,2,Clients à Risque / Perdus
18,5,2099.54,Agadir,1,3,3,133,2,Clients à Risque / Perdus
48,1,1193.32,Rabat,2,1,3,213,2,Clients à Risque / Perdus
69,1,704.0400000000001,Casablanca,2,1,2,212,2,Clients à Risque / Perdus
52,10,6835.07,Tanger,2,4,4,244,2,Clients à Risque / Perdus
273,1,315.6,Agadir,3,1,1,311,0,Clients Réguliers
32,7,5318.13,Fès,2,3,4,234,2,Clients à Risque / Perdus
90,3,1131.1,Fès,2,2,3,223,2,Clients à Risque / Perdus
24,1,355.53,Kenitra,1,1,2,112,2,Clients à Risque / Perdus
17,1,177.31,Tanger,1,1,1,111,2,Clients à Risque / Perdus
11,10,3781.38,Casablanca,1,4,4,144,2,Clients à Risque / Perdus
10,3,1339.41,Rabat,1,2,3,123,2,Clients à Risque / Perdus
19,34,23587.61,Casablanca,1,4,4,144,2,Clients à Risque / Perdus
227,1,180.1,Fès,3,1,1,311,2,Clients à Risque / Perdus
271,7,3747.84,Marrakech,3,3,4,334,2,Clients à Risque / Perdus
101,2,641.13,Tétouan,2,2,2,222,2,Clients à Risque / Perdus
207,4,5164.88,Agadir,3,3,4,334,2,Clients à Risque / Perdus
18,9,6620.48,Casablanca,1,4,4,144,2,Clients à Risque / Perdus
6,7,4478.53,Casablanca,1,3,4,134,2,Clients à Risque / Perdus
28,2,571.21,Casablanca,2,2,2,222,2,Clients à Risque / Perdus
381,2,1558.22,Rabat,4,2,3,423,0,Clients Réguliers
5,2,1270.88,Casablanca,1,2,3,123,2,Clients à Risque / Perdus
52,6,3481.57,Meknès,2,3,4,234,2,Clients à Risque / Perdus
516,2,804.88,Casablanca,4,2,2,422,0,Clients Réguliers
54,7,5678.16,Agadir,2,3,4,234,2,Clients à Risque / Perdus
531,2,490.0,Casablanca,4,2,2,422,0,Clients Réguliers
85,4,2930.41,Agadir,2,3,4,234,2,Clients à Risque / Perdus
734,1,141.0,Casablanca,4,1,1,411,0,Clients Réguliers
62,12,8340.31,Casablanca,2,4,4,244,2,Clients à Risque / Perdus
29,2,921.49,Marrakech,2,2,3,223,2,Clients à Risque / Perdus
234,3,1312.37,Marrakech,3,2,3,323,2,Clients à Risque / Perdus
19,3,1174.58,Kenitra,1,2,3,123,2,Clients à Risque / Perdus
110,1,185.9,Casablanca,3,1,1,311,2,Clients à Risque / Perdus
20,3,1013.26,Casablanca,1,2,3,123,2,Clients à Risque / Perdus
124,12,8350.42,Tanger,3,4,4,344,2,Clients à Risque / Perdus
125,4,1918.49,Rabat,3,3,3,333,2,Clients à Risque / Perdus
29,8,3539.3,Casablanca,2,4,4,244,2,Clients à Risque / Perdus
45,1,731.6899999999999,Marrakech,2,1,2,212,2,Clients à Risque / Perdus
18,36,17924.35,Tanger,1,4,4,144,2,Clients à Risque / Perdus
150,4,1112.0,Tanger,3,3,3,333,2,Clients à Risque / Perdus
102,8,2294.65,Casablanca,3,4,4,344,2,Clients à Risque / Perdus
330,4,377.75,Marrakech,3,3,2,332,0,Clients Réguliers
326,2,1017.03,Fès,3,2,3,323,0,Clients Réguliers
144,3,4160.83,Fès,3,2,4,324,2,Clients à Risque / Perdus
6,5,601.98,El Jadida,1,3,2,132,2,Clients à Risque / Perdus
419,1,261.35,Tanger,4,1,1,411,0,Clients Réguliers
12,8,6407.83,Agadir,1,4,4,144,2,Clients à Risque / Perdus
6,4,1643.18,Rabat,1,3,3,133,2,Clients à Risque / Perdus
14,1,686.05,Kenitra,1,1,2,112,2,Clients à Risque / Perdus
25,1,91.68,Tanger,1,1,1,111,2,Clients à Risque / Perdus
6,1,245.1,Oujda,1,1,1,111,2,Clients à Risque / Perdus
431,1,162.0,Casablanca,4,1,1,411,0,Clients Réguliers
18,19,6763.07,Casablanca,1,4,4,144,2,Clients à Risque / Perdus
620,2,239.4,Agadir,4,2,1,421,0,Clients Réguliers
3,11,6070.04,Casablanca,1,4,4,144,2,Clients à Risque / Perdus
320,3,313.6,Rabat,3,2,1,321,0,Clients Réguliers
389,1,1248.42,El Jadida,4,1,3,413,0,Clients Réguliers
53,1,620.13,Marrakech,2,1,2,212,2,Clients à Risque / Perdus
7,10,11444.68,El Jadida,1,4,4,144,2,Clients à Risque / Perdus
146,3,2744.0299999999997,Agadir,3,2,4,324,2,Clients à Risque / Perdus
5,7,3760.29,Meknès,1,3,4,134,2,Clients à Risque / Perdus
601,1,2622.481,Agadir,4,1,4,414,0,Clients Réguliers
325,2,437.05,Marrakech,3,2,2,322,0,Clients Réguliers
322,2,840.4,Casablanca,3,2,2,322,0,Clients Réguliers
34,4,1970.6,Casablanca,2,3,3,233,2,Clients à Risque / Perdus
549,2,958.5,Kenitra,4,2,3,423,0,Clients Réguliers
20,11,2843.09,Casablanca,1,4,4,144,2,Clients à Risque / Perdus
550,2,395.1,Casablanca,4,2,2,422,0,Clients Réguliers
38,21,34281.18,Agadir,2,4,4,244,2,Clients à Risque / Perdus
54,4,1113.02,Fès,2,3,3,233,2,Clients à Risque / Perdus
69,3,613.36,Casablanca,2,2,2,222,2,Clients à Risque / Perdus
10,45,30868.28,Agadir,1,4,4,144,2,Clients à Risque / Perdus
4,51,23397.28,Rabat,1,4,4,144,2,Clients à Risque / Perdus
45,19,11899.3,Fès,2,4,4,244,2,Clients à Risque / Perdus
3,7,2283.63,Casablanca,1,3,3,133,2,Clients à Risque / Perdus
23,6,2863.08,Rabat,1,3,4,134,2,Clients à Risque / Perdus
367,1,178.28,Marrakech,3,1,1,311,0,Clients Réguliers
476,2,2138.91,Rabat,4,2,3,423,0,Clients Réguliers
109,1,4873.8099999999995,El Jadida,3,1,4,314,2,Clients à Risque / Perdus
21,2,1247.61,Tanger,1,2,3,123,2,Clients à Risque / Perdus
201,1,389.01,Marrakech,3,1,2,312,2,Clients à Risque / Perdus
23,7,1170.4,Marrakech,1,3,3,133,2,Clients à Risque / Perdus
632,1,110.95,Rabat,4,1,1,411,0,Clients Réguliers
122,7,1703.02,Oujda,3,3,3,333,2,Clients à Risque / Perdus
66,3,1843.35,Fès,2,2,3,223,2,Clients à Risque / Perdus
2,7,1407.1200000000001,Tanger,1,3,3,133,2,Clients à Risque / Perdus
430,2,851.91,Marrakech,4,2,2,422,0,Clients Réguliers
24,3,957.59,Marrakech,1,2,3,123,2,Clients à Risque / Perdus
585,1,339.75,Casablanca,4,1,1,411,0,Clients Réguliers
413,1,638.11,Tétouan,4,1,2,412,0,Clients Réguliers
3,4,4939.99,Casablanca,1,3,4,134,2,Clients à Risque / Perdus
75,6,2446.41,Meknès,2,3,4,234,2,Clients à Risque / Perdus
15,1,219.0,Casablanca,1,1,1,111,2,Clients à Risque / Perdus
66,4,1006.53,Rabat,2,3,3,233,2,Clients à Risque / Perdus
3,8,2340.84,Casablanca,1,4,4,144,2,Clients à Risque / Perdus
10,14,11762.1,Oujda,1,4,4,144,2,Clients à Risque / Perdus
287,1,603.42,Casablanca,3,1,2,312,0,Clients Réguliers
25,18,5314.1,Rabat,1,4,4,144,2,Clients à Risque / Perdus
10,34,31093.34,Casablanca,1,4,4,144,2,Clients à Risque / Perdus
92,3,1149.02,Tanger,2,2,3,223,2,Clients à Risque / Perdus
607,2,1339.05,Tanger,4,2,3,423,0,Clients Réguliers
24,21,7193.66,Agadir,1,4,4,144,2,Clients à Risque / Perdus
4,12,14093.71,Tétouan,1,4,4,144,2,Clients à Risque / Perdus
101,1,353.86,Tanger,2,1,2,212,2,Clients à Risque / Perdus
128,1,677.9,Rabat,3,1,2,312,2,Clients à Risque / Perdus
146,3,1308.91,Rabat,3,2,3,323,2,Clients à Risque / Perdus
66,1,238.25,Marrakech,2,1,1,211,2,Clients à Risque / Perdus
60,1,283.6,Kenitra,2,1,1,211,2,Clients à Risque / Perdus
10,29,7878.2,Oujda,1,4,4,144,2,Clients à Risque / Perdus
27,8,4013.08,Casablanca,2,4,4,244,2,Clients à Risque / Perdus
80,4,997.63,Meknès,2,3,3,233,2,Clients à Risque / Perdus
11,4,647.79,Tétouan,1,3,2,132,2,Clients à Risque / Perdus
77,6,2109.2799999999997,Casablanca,2,3,3,233,2,Clients à Risque / Perdus
366,4,2694.56,Fès,3,3,4,334,0,Clients Réguliers
23,11,4014.6,Marrakech,1,4,4,144,2,Clients à Risque / Perdus
6,10,5679.53,Tanger,1,4,4,144,2,Clients à Risque / Perdus
66,5,1070.17,Rabat,2,3,3,233,2,Clients à Risque / Perdus
109,1,453.01,Casablanca,3,1,2,312,2,Clients à Risque / Perdus
517,1,829.25,Casablanca,4,1,2,412,0,Clients Réguliers
19,17,25775.71,Marrakech,1,4,4,144,2,Clients à Risque / Perdus
175,1,236.26000000000002,Casablanca,3,1,1,311,2,Clients à Risque / Perdus
229,4,2424.87,Rabat,3,3,4,334,2,Clients à Risque / Perdus
348,3,639.65,Casablanca,3,2,2,322,0,Clients Réguliers
310,2,779.5699999999999,Tanger,3,2,2,322,0,Clients Réguliers
