Recence,Frequence,Montant,Ville,Segment,Cluster,RFM_Score,Churn,Proba_Churn,Risque
374,1,1938.4,Marrakech,Clients Réguliers,0,313,1,0.9997396,Élevé
333,2,660.8,Tanger,Clients Réguliers,0,322,1,0.99976844,Élevé
410,1,143.94,Casablanca,Clients Réguliers,0,411,1,0.99971837,Élevé
11,8,3901.11,Marrakech,Clients à Risque / Perdus,2,144,0,0.0001866873,Faible
398,3,1433.33,Rabat,Clients Réguliers,0,423,1,0.9996105,Élevé
75,1,549.84,Oujda,Clients à Risque / Perdus,2,212,0,0.00032832907,Faible
17,6,2773.42,Casablanca,Clients à Risque / Perdus,2,134,0,0.00021904154,Faible
586,1,234.75000000000003,El Jadida,Clients Réguliers,0,411,1,0.99978894,Élevé
67,6,2399.4500000000003,El Jadida,Clients à Risque / Perdus,2,234,0,0.00028149466,Faible
59,2,1272.48,Rabat,Clients à Risque / Perdus,2,223,0,0.00028826602,Faible
14,15,5067.27,Rabat,Clients à Risque / Perdus,2,144,0,0.00025717216,Faible
669,1,931.43,Casablanca,Clients Réguliers,0,413,1,0.9997967,Élevé
31,2,2409.9,Fès,Clients à Risque / Perdus,2,224,0,0.00028826602,Faible
41,1,1635.66,Agadir,Clients à Risque / Perdus,2,213,0,0.00032832907,Faible
115,7,1962.3,Marrakech,Clients à Risque / Perdus,2,333,0,0.00023818534,Faible
409,1,205.25,Tanger,Clients Réguliers,0,411,1,0.99971837,Élevé
298,1,84.3,Fès,Clients Réguliers,0,311,1,0.99971837,Élevé
318,6,1256.9,Fès,Clients Réguliers,0,333,1,0.9997167,Élevé
45,2,1019.36,Rabat,Clients à Risque / Perdus,2,223,0,0.00028826602,Faible
677,1,63.24,Fès,Clients Réguliers,0,411,1,0.99978894,Élevé
144,1,1710.39,Rabat,Clients à Risque / Perdus,2,313,0,0.00032832907,Faible
17,5,6390.36,Marrakech,Clients à Risque / Perdus,2,134,0,0.00021904154,Faible
45,5,1708.12,Kenitra,Clients à Risque / Perdus,2,233,0,0.0003199647,Faible
28,8,4340.77,Oujda,Clients à Risque / Perdus,2,244,0,0.00025717216,Faible
74,7,23419.29,Tanger,Clients à Risque / Perdus,2,234,0,0.00022625006,Faible
304,3,1013.71,Casablanca,Clients Réguliers,0,323,1,0.99926907,Élevé
405,1,346.9,Casablanca,Clients Réguliers,0,412,1,0.9997396,Élevé
70,6,2596.93,Fès,Clients à Risque / Perdus,2,234,0,0.00028149466,Faible
62,4,999.45,Rabat,Clients à Risque / Perdus,2,233,0,0.0003312044,Faible
212,6,952.41,Rabat,Clients à Risque / Perdus,2,333,1,0.99963,Élevé
19,28,144458.37,Rabat,VIP / Champions,1,144,0,0.00022625006,Faible
652,1,202.56,Rabat,Clients Réguliers,0,411,1,0.99978894,Élevé
34,19,6447.18,Tétouan,Clients à Risque / Perdus,2,244,0,0.00022625006,Faible
108,4,2021.2,Rabat,Clients à Risque / Perdus,2,333,0,0.00028149466,Faible
381,2,503.01,Casablanca,Clients Réguliers,0,422,1,0.99976915,Élevé
59,1,600.39,Casablanca,Clients à Risque / Perdus,2,212,0,0.00032832907,Faible
11,6,1098.6,Casablanca,Clients à Risque / Perdus,2,133,0,0.0002267366,Faible
91,17,5231.8,El Jadida,Clients à Risque / Perdus,2,244,0,0.00059199973,Faible
96,9,2413.75,Tanger,Clients à Risque / Perdus,2,244,0,0.00023818534,Faible
158,4,3340.03,Oujda,Clients à Risque / Perdus,2,334,0,0.0003606093,Faible
73,2,1741.41,Tanger,Clients à Risque / Perdus,2,223,0,0.00028826602,Faible
190,2,1345.21,Fès,Clients à Risque / Perdus,2,323,1,0.99970335,Élevé
17,3,1129.3,Casablanca,Clients à Risque / Perdus,2,123,0,0.00021904154,Faible
21,9,7956.46,Casablanca,Clients à Risque / Perdus,2,144,0,0.00025717216,Faible
4,8,7485.91,Casablanca,Clients à Risque / Perdus,2,144,0,0.0001866873,Faible
38,1,256.4,Marrakech,Clients à Risque / Perdus,2,211,0,0.0003162837,Faible
31,27,10857.97,Rabat,Clients à Risque / Perdus,2,244,0,0.00022625006,Faible
38,5,5059.32,Casablanca,Clients à Risque / Perdus,2,234,0,0.0003199647,Faible
4,8,17942.57,Marrakech,Clients à Risque / Perdus,2,144,0,0.0001866873,Faible
80,3,1103.43,Kenitra,Clients à Risque / Perdus,2,223,0,0.0003199647,Faible
75,6,13925.93,Tanger,Clients à Risque / Perdus,2,234,0,0.00028149466,Faible
95,1,509.01,Rabat,Clients à Risque / Perdus,2,212,0,0.00032832907,Faible
4,38,12517.5,Rabat,Clients à Risque / Perdus,2,144,0,0.0001866873,Faible
9,2,2906.85,Marrakech,Clients à Risque / Perdus,2,124,0,0.00028826602,Faible
678,2,1158.18,Agadir,Clients Réguliers,0,423,1,0.99979407,Élevé
458,2,859.2,Casablanca,Clients Réguliers,0,422,1,0.99976844,Élevé
362,1,347.1,Rabat,Clients Réguliers,0,312,1,0.9997396,Élevé
727,1,485.31,Casablanca,Clients Réguliers,0,412,1,0.9997967,Élevé
16,5,5005.46,Oujda,Clients à Risque / Perdus,2,134,0,0.00021904154,Faible
17,2,434.98,Marrakech,Clients à Risque / Perdus,2,122,0,0.0002842593,Faible
53,1,1002.31,Rabat,Clients à Risque / Perdus,2,213,0,0.00032832907,Faible
238,1,476.49,Marrakech,Clients à Risque / Perdus,2,312,1,0.9997396,Élevé
39,1,449.45,Rabat,Clients à Risque / Perdus,2,212,0,0.00032832907,Faible
17,6,4835.89,Tanger,Clients à Risque / Perdus,2,134,0,0.00021904154,Faible
151,5,688.2,Casablanca,Clients à Risque / Perdus,2,332,0,0.0003734302,Faible
6,8,12669.88,El Jadida,Clients à Risque / Perdus,2,144,0,0.0001866873,Faible
12,2,430.57,Tétouan,Clients à Risque / Perdus,2,122,0,0.0002842593,Faible
129,1,707.09,Meknès,Clients à Risque / Perdus,2,312,0,0.00032832907,Faible
51,5,16679.78,Marrakech,Clients à Risque / Perdus,2,234,0,0.0003199647,Faible
68,10,5879.95,Tanger,Clients à Risque / Perdus,2,244,0,0.00022625006,Faible
39,3,3181.04,Tanger,Clients à Risque / Perdus,2,224,0,0.00021904154,Faible
62,8,2995.91,Agadir,Clients à Risque / Perdus,2,244,0,0.00022625006,Faible
66,4,1777.49,Rabat,Clients à Risque / Perdus,2,233,0,0.0003199647,Faible
600,1,454.36,Rabat,Clients Réguliers,0,412,1,0.9997967,Élevé
451,1,326.65,Rabat,Clients Réguliers,0,411,1,0.9997396,Élevé
89,2,826.88,Marrakech,Clients à Risque / Perdus,2,222,0,0.00028826602,Faible
14,2,1189.59,Marrakech,Clients à Risque / Perdus,2,123,0,0.00028826602,Faible
48,4,1344.78,Marrakech,Clients à Risque / Perdus,2,233,0,0.0003199647,Faible
5,8,1212.05,Casablanca,Clients à Risque / Perdus,2,143,0,0.00019653594,Faible
12,2,742.1899999999999,Tétouan,Clients à Risque / Perdus,2,122,0,0.00028826602,Faible
677,1,56.73,Tanger,Clients Réguliers,0,411,1,0.99978894,Élevé
418,1,132.8,Marrakech,Clients Réguliers,0,411,1,0.99971837,Élevé
183,5,3670.74,Casablanca,Clients à Risque / Perdus,2,334,1,0.99926907,Élevé
518,2,3070.54,Rabat,Clients Réguliers,0,424,1,0.99976844,Élevé
685,1,211.95,Oujda,Clients Réguliers,0,411,1,0.99978894,Élevé
6,78,37725.28,Agadir,VIP / Champions,1,144,0,0.00022625006,Faible
27,19,17880.59,Rabat,Clients à Risque / Perdus,2,244,0,0.00022625006,Faible
24,5,3938.55,Agadir,Clients à Risque / Perdus,2,134,0,0.00021904154,Faible
12,31,12424.45,Marrakech,Clients à Risque / Perdus,2,144,0,0.00022625006,Faible
49,2,1149.64,Casablanca,Clients à Risque / Perdus,2,223,0,0.00028826602,Faible
11,23,14115.41,Casablanca,Clients à Risque / Perdus,2,144,0,0.00025717216,Faible
18,9,20276.37,Rabat,Clients à Risque / Perdus,2,144,0,0.0001866873,Faible
6,1,527.2,El Jadida,Clients à Risque / Perdus,2,112,0,0.00032832907,Faible
23,7,5464.85,Casablanca,Clients à Risque / Perdus,2,134,0,0.0001866873,Faible
18,15,12361.39,Casablanca,Clients à Risque / Perdus,2,144,0,0.00025717216,Faible
571,29,23691.4,Casablanca,Clients Réguliers,0,444,1,0.9995241,Élevé
12,19,5120.58,Rabat,Clients à Risque / Perdus,2,144,0,0.00027073818,Faible
28,12,6370.15,Marrakech,Clients à Risque / Perdus,2,244,0,0.00022625006,Faible
524,1,708.1,Marrakech,Clients Réguliers,0,412,1,0.9997396,Élevé
427,1,1037.28,Marrakech,Clients Réguliers,0,413,1,0.9997396,Élevé
726,1,285.29999999999995,El Jadida,Clients Réguliers,0,411,1,0.99978894,Élevé
5,3,1298.66,Rabat,Clients à Risque / Perdus,2,123,0,0.00021904154,Faible
332,1,334.93,Marrakech,Clients Réguliers,0,311,1,0.9997396,Élevé
13,20,9361.34,Meknès,Clients à Risque / Perdus,2,144,0,0.00025717216,Faible
34,1,460.4,Marrakech,Clients à Risque / Perdus,2,212,0,0.00032832907,Faible
58,3,715.21,Casablanca,Clients à Risque / Perdus,2,222,0,0.0002267366,Faible
161,2,433.74,Oujda,Clients à Risque / Perdus,2,322,0,0.0008954309,Faible
11,9,1872.87,Tanger,Clients à Risque / Perdus,2,143,0,0.00019653594,Faible
636,1,357.4,Casablanca,Clients Réguliers,0,412,1,0.9997967,Élevé
615,2,54.09,Tanger,Clients Réguliers,0,421,1,0.9997861,Élevé
77,3,6248.5,Oujda,Clients à Risque / Perdus,2,224,0,0.0003199647,Faible
17,3,403.7000000000001,Tanger,Clients à Risque / Perdus,2,122,0,0.00021599677,Faible
555,1,393.72,Casablanca,Clients Réguliers,0,412,1,0.9997967,Élevé
18,19,5955.21,El Jadida,Clients à Risque / Perdus,2,144,0,0.00022625006,Faible
332,1,2169.39,Marrakech,Clients Réguliers,0,313,1,0.9997396,Élevé
91,5,3723.87,Casablanca,Clients à Risque / Perdus,2,234,0,0.00028149466,Faible
579,1,1126.0,Casablanca,Clients Réguliers,0,413,1,0.9997967,Élevé
13,4,779.05,Tétouan,Clients à Risque / Perdus,2,132,0,0.0002267366,Faible
404,1,955.2,Casablanca,Clients Réguliers,0,413,1,0.9997396,Élevé
228,1,73.5,Tanger,Clients à Risque / Perdus,2,311,1,0.99971837,Élevé
129,4,1844.06,Marrakech,Clients à Risque / Perdus,2,333,0,0.00028149466,Faible
21,2,398.27,Meknès,Clients à Risque / Perdus,2,122,0,0.0002842593,Faible
279,1,176.5,Tanger,Clients Réguliers,0,311,1,0.99971837,Élevé
138,9,5178.02,Fès,Clients à Risque / Perdus,2,344,0,0.0004533296,Faible
424,1,3084.02,Casablanca,Clients Réguliers,0,414,1,0.9997396,Élevé
61,2,138.03,Rabat,Clients à Risque / Perdus,2,221,0,0.00027769,Faible
108,1,612.29,Agadir,Clients à Risque / Perdus,2,312,0,0.00032832907,Faible
262,2,1597.76,Rabat,Clients Réguliers,0,323,1,0.99970335,Élevé
348,1,383.7,Marrakech,Clients Réguliers,0,312,1,0.9997396,Élevé
73,4,2648.62,Casablanca,Clients à Risque / Perdus,2,234,0,0.0003199647,Faible
23,5,2502.84,Rabat,Clients à Risque / Perdus,2,134,0,0.00021904154,Faible
24,4,1717.75,Tanger,Clients à Risque / Perdus,2,133,0,0.00021904154,Faible
59,2,726.54,Agadir,Clients à Risque / Perdus,2,222,0,0.00028826602,Faible
74,5,2634.26,Rabat,Clients à Risque / Perdus,2,234,0,0.00028149466,Faible
138,1,599.68,Marrakech,Clients à Risque / Perdus,2,312,0,0.00032832907,Faible
34,2,192.72,Fès,Clients à Risque / Perdus,2,221,0,0.00027769,Faible
15,23,4372.15,Rabat,Clients à Risque / Perdus,2,144,0,0.00023818534,Faible
4,17,11126.11,Tanger,Clients à Risque / Perdus,2,144,0,0.0001866873,Faible
493,3,973.73,Casablanca,Clients Réguliers,0,423,1,0.9997017,Élevé
49,2,1039.58,Fès,Clients à Risque / Perdus,2,223,0,0.00028826602,Faible
77,5,735.51,Casablanca,Clients à Risque / Perdus,2,232,0,0.00028662445,Faible
4,6,1933.48,Oujda,Clients à Risque / Perdus,2,133,0,0.00021904154,Faible
524,1,316.48,El Jadida,Clients Réguliers,0,411,1,0.9997223,Élevé
55,9,3759.26,Meknès,Clients à Risque / Perdus,2,244,0,0.00022625006,Faible
10,2,1933.2,Marrakech,Clients à Risque / Perdus,2,123,0,0.00028826602,Faible
25,1,349.83000000000004,Rabat,Clients à Risque / Perdus,2,112,0,0.00032832907,Faible
623,2,1367.89,Casablanca,Clients Réguliers,0,423,1,0.99979407,Élevé
126,1,1089.18,Casablanca,Clients à Risque / Perdus,2,313,0,0.00032832907,Faible
87,2,716.35,Casablanca,Clients à Risque / Perdus,2,222,0,0.00028826602,Faible
38,3,12601.830000000002,Tétouan,Clients à Risque / Perdus,2,224,0,0.00021904154,Faible
404,1,732.94,Casablanca,Clients Réguliers,0,412,1,0.9997396,Élevé
24,2,640.45,Fès,Clients à Risque / Perdus,2,122,0,0.00028826602,Faible
17,7,11214.75,Agadir,Clients à Risque / Perdus,2,134,0,0.0001866873,Faible
15,33,22254.49,Tétouan,Clients à Risque / Perdus,2,144,0,0.00022625006,Faible
25,3,981.18,Fès,Clients à Risque / Perdus,2,123,0,0.00021904154,Faible
479,2,481.88,Agadir,Clients Réguliers,0,422,1,0.99976915,Élevé
443,1,980.25,Marrakech,Clients Réguliers,0,413,1,0.9997396,Élevé
31,1,372.7,Rabat,Clients à Risque / Perdus,2,212,0,0.00032832907,Faible
70,2,1000.39,El Jadida,Clients à Risque / Perdus,2,223,0,0.00028826602,Faible
42,2,1161.5,Marrakech,Clients à Risque / Perdus,2,223,0,0.00028826602,Faible
193,3,383.58,Rabat,Clients à Risque / Perdus,2,322,1,0.9992712,Élevé
161,1,95.2,Rabat,Clients à Risque / Perdus,2,311,0,0.0003162837,Faible
571,6,1575.68,Tanger,Clients Réguliers,0,433,1,0.9997167,Élevé
74,1,964.83,Marrakech,Clients à Risque / Perdus,2,213,0,0.00032832907,Faible
353,1,168.0,Meknès,Clients Réguliers,0,311,1,0.99971837,Élevé
34,2,437.82,Tanger,Clients à Risque / Perdus,2,222,0,0.0002842593,Faible
3,12,4608.75,Rabat,Clients à Risque / Perdus,2,144,0,0.0001866873,Faible
444,1,468.5,Kenitra,Clients Réguliers,0,412,1,0.9997396,Élevé
677,1,129.23,Casablanca,Clients Réguliers,0,411,1,0.99978894,Élevé
46,2,603.71,Rabat,Clients à Risque / Perdus,2,222,0,0.00028344092,Faible
11,8,18716.14,Casablanca,Clients à Risque / Perdus,2,144,0,0.0001866873,Faible
3,1,269.96,Tétouan,Clients à Risque / Perdus,2,111,0,0.0003162837,Faible
306,2,561.71,Agadir,Clients Réguliers,0,322,1,0.99976915,Élevé
107,2,1436.31,Rabat,Clients à Risque / Perdus,2,323,0,0.0010097836,Faible
298,1,238.85,Tanger,Clients Réguliers,0,311,1,0.99971837,Élevé
3,9,4966.92,Tanger,Clients à Risque / Perdus,2,144,0,0.0001866873,Faible
404,1,249.24,Meknès,Clients Réguliers,0,411,1,0.99971837,Élevé
256,1,456.9,Casablanca,Clients Réguliers,0,312,1,0.9997396,Élevé
284,1,145.92,Tanger,Clients Réguliers,0,311,1,0.99971837,Élevé
81,1,351.65,Agadir,Clients à Risque / Perdus,2,212,0,0.00032832907,Faible
18,15,13709.86,Rabat,Clients à Risque / Perdus,2,144,0,0.00025717216,Faible
640,1,70.0,Casablanca,Clients Réguliers,0,411,1,0.99978894,Élevé
3,28,3704.86,Meknès,Clients à Risque / Perdus,2,144,0,0.00019653594,Faible
677,1,77.52,Marrakech,Clients Réguliers,0,411,1,0.99978894,Élevé
35,2,519.61,Casablanca,Clients à Risque / Perdus,2,222,0,0.0002842593,Faible
4,2,1020.42,Fès,Clients à Risque / Perdus,2,123,0,0.00028826602,Faible
222,5,717.41,Marrakech,Clients à Risque / Perdus,2,332,1,0.99963,Élevé
311,1,218.45,Casablanca,Clients Réguliers,0,311,1,0.99971837,Élevé
453,2,622.8199999999999,Casablanca,Clients Réguliers,0,422,1,0.99976844,Élevé
31,8,2142.72,Rabat,Clients à Risque / Perdus,2,243,0,0.00027073818,Faible
30,8,1653.75,Casablanca,Clients à Risque / Perdus,2,243,0,0.00027073818,Faible
16,4,4642.45,Casablanca,Clients à Risque / Perdus,2,134,0,0.00021904154,Faible
73,1,440.42,Casablanca,Clients à Risque / Perdus,2,212,0,0.00032832907,Faible
242,2,1052.9,Casablanca,Clients à Risque / Perdus,2,323,1,0.99970335,Élevé
35,1,197.71,Casablanca,Clients à Risque / Perdus,2,211,0,0.0003162837,Faible
234,4,1980.4,Kenitra,Clients à Risque / Perdus,2,333,1,0.99926907,Élevé
14,26,13752.67,Tanger,Clients à Risque / Perdus,2,144,0,0.00022625006,Faible
13,8,2137.7000000000003,Oujda,Clients à Risque / Perdus,2,143,0,0.00019653594,Faible
229,2,2040.1,Rabat,Clients à Risque / Perdus,2,323,1,0.99970335,Élevé
12,4,2062.67,Agadir,Clients à Risque / Perdus,2,133,0,0.00021904154,Faible
3,1,144.0,Rabat,Clients à Risque / Perdus,2,111,0,0.0003162837,Faible
34,4,958.78,Marrakech,Clients à Risque / Perdus,2,233,0,0.0002267366,Faible
24,8,4695.66,Meknès,Clients à Risque / Perdus,2,144,0,0.00025717216,Faible
206,2,9864.26,Marrakech,Clients à Risque / Perdus,2,324,1,0.99970335,Élevé
312,3,1352.15,Tanger,Clients Réguliers,0,323,1,0.99926907,Élevé
87,5,2582.66,Agadir,Clients à Risque / Perdus,2,234,0,0.00028149466,Faible
104,3,418.1,Tanger,Clients à Risque / Perdus,2,322,0,0.00028370856,Faible
33,15,5090.110000000001,Fès,Clients à Risque / Perdus,2,244,0,0.00022625006,Faible
500,1,299.02,Meknès,Clients Réguliers,0,411,1,0.99971753,Élevé
47,2,618.27,Marrakech,Clients à Risque / Perdus,2,222,0,0.00028826602,Faible
14,4,3811.22,Casablanca,Clients à Risque / Perdus,2,134,0,0.00021904154,Faible
5,11,4534.09,Marrakech,Clients à Risque / Perdus,2,144,0,0.0001866873,Faible
24,13,2296.72,Marrakech,Clients à Risque / Perdus,2,144,0,0.00024344237,Faible
24,21,5043.92,Tanger,Clients à Risque / Perdus,2,144,0,0.00023818534,Faible
185,6,681.26,Marrakech,Clients à Risque / Perdus,2,332,1,0.99963,Élevé
54,1,153.12,Casablanca,Clients à Risque / Perdus,2,211,0,0.0003162837,Faible
17,1,739.1999999999999,Casablanca,Clients à Risque / Perdus,2,112,0,0.00032832907,Faible
74,2,254.18,Marrakech,Clients à Risque / Perdus,2,221,0,0.00027769,Faible
371,4,1232.95,Kenitra,Clients Réguliers,0,333,1,0.9997017,Élevé
677,1,21.0,Agadir,Clients Réguliers,0,411,1,0.99978894,Élevé
55,1,1579.51,Marrakech,Clients à Risque / Perdus,2,213,0,0.00032832907,Faible
400,1,415.79,Rabat,Clients Réguliers,0,412,1,0.9997396,Élevé
73,9,3435.86,Casablanca,Clients à Risque / Perdus,2,244,0,0.00022625006,Faible
18,5,2099.54,Agadir,Clients à Risque / Perdus,2,133,0,0.00021904154,Faible
48,1,1193.32,Rabat,Clients à Risque / Perdus,2,213,0,0.00032832907,Faible
69,1,704.0400000000001,Casablanca,Clients à Risque / Perdus,2,212,0,0.00032832907,Faible
52,10,6835.07,Tanger,Clients à Risque / Perdus,2,244,0,0.00022625006,Faible
273,1,315.6,Agadir,Clients Réguliers,0,311,1,0.9997223,Élevé
32,7,5318.13,Fès,Clients à Risque / Perdus,2,234,0,0.00025717216,Faible
90,3,1131.1,Fès,Clients à Risque / Perdus,2,223,0,0.0003199647,Faible
24,1,355.53,Kenitra,Clients à Risque / Perdus,2,112,0,0.00032832907,Faible
17,1,177.31,Tanger,Clients à Risque / Perdus,2,111,0,0.0003162837,Faible
11,10,3781.38,Casablanca,Clients à Risque / Perdus,2,144,0,0.0001866873,Faible
10,3,1339.41,Rabat,Clients à Risque / Perdus,2,123,0,0.00021904154,Faible
19,34,23587.61,Casablanca,Clients à Risque / Perdus,2,144,0,0.00022625006,Faible
227,1,180.1,Fès,Clients à Risque / Perdus,2,311,1,0.99971837,Élevé
271,7,3747.84,Marrakech,Clients à Risque / Perdus,2,334,1,0.9995517,Élevé
101,2,641.13,Tétouan,Clients à Risque / Perdus,2,222,0,0.0010097836,Faible
207,4,5164.88,Agadir,Clients à Risque / Perdus,2,334,1,0.99926907,Élevé
18,9,6620.48,Casablanca,Clients à Risque / Perdus,2,144,0,0.0001866873,Faible
6,7,4478.53,Casablanca,Clients à Risque / Perdus,2,134,0,0.0001866873,Faible
28,2,571.21,Casablanca,Clients à Risque / Perdus,2,222,0,0.0002842593,Faible
381,2,1558.22,Rabat,Clients Réguliers,0,423,1,0.99976844,Élevé
5,2,1270.88,Casablanca,Clients à Risque / Perdus,2,123,0,0.00028826602,Faible
52,6,3481.57,Meknès,Clients à Risque / Perdus,2,234,0,0.00028770725,Faible
516,2,804.88,Casablanca,Clients Réguliers,0,422,1,0.99976844,Élevé
54,7,5678.16,Agadir,Clients à Risque / Perdus,2,234,0,0.00022625006,Faible
531,2,490.0,Casablanca,Clients Réguliers,0,422,1,0.99976915,Élevé
85,4,2930.41,Agadir,Clients à Risque / Perdus,2,234,0,0.00028149466,Faible
734,1,141.0,Casablanca,Clients Réguliers,0,411,1,0.99978894,Élevé
62,12,8340.31,Casablanca,Clients à Risque / Perdus,2,244,0,0.00022625006,Faible
29,2,921.49,Marrakech,Clients à Risque / Perdus,2,223,0,0.00028826602,Faible
234,3,1312.37,Marrakech,Clients à Risque / Perdus,2,323,1,0.99926907,Élevé
19,3,1174.58,Kenitra,Clients à Risque / Perdus,2,123,0,0.00021904154,Faible
110,1,185.9,Casablanca,Clients à Risque / Perdus,2,311,0,0.0003162837,Faible
20,3,1013.26,Casablanca,Clients à Risque / Perdus,2,123,0,0.00021904154,Faible
124,12,8350.42,Tanger,Clients à Risque / Perdus,2,344,0,0.00059199973,Faible
125,4,1918.49,Rabat,Clients à Risque / Perdus,2,333,0,0.00028149466,Faible
29,8,3539.3,Casablanca,Clients à Risque / Perdus,2,244,0,0.00025717216,Faible
45,1,731.6899999999999,Marrakech,Clients à Risque / Perdus,2,212,0,0.00032832907,Faible
18,36,17924.35,Tanger,Clients à Risque / Perdus,2,144,0,0.00022625006,Faible
150,4,1112.0,Tanger,Clients à Risque / Perdus,2,333,0,0.0003734302,Faible
102,8,2294.65,Casablanca,Clients à Risque / Perdus,2,344,0,0.00023818534,Faible
330,4,377.75,Marrakech,Clients Réguliers,0,332,1,0.9996117,Élevé
326,2,1017.03,Fès,Clients Réguliers,0,323,1,0.99976844,Élevé
144,3,4160.83,Fès,Clients à Risque / Perdus,2,324,0,0.00028149466,Faible
6,5,601.98,El Jadida,Clients à Risque / Perdus,2,132,0,0.00021599677,Faible
419,1,261.35,Tanger,Clients Réguliers,0,411,1,0.99971837,Élevé
12,8,6407.83,Agadir,Clients à Risque / Perdus,2,144,0,0.0001866873,Faible
6,4,1643.18,Rabat,Clients à Risque / Perdus,2,133,0,0.00021904154,Faible
14,1,686.05,Kenitra,Clients à Risque / Perdus,2,112,0,0.00032832907,Faible
25,1,91.68,Tanger,Clients à Risque / Perdus,2,111,0,0.0003162837,Faible
6,1,245.1,Oujda,Clients à Risque / Perdus,2,111,0,0.0003162837,Faible
431,1,162.0,Casablanca,Clients Réguliers,0,411,1,0.99971837,Élevé
18,19,6763.07,Casablanca,Clients à Risque / Perdus,2,144,0,0.00022625006,Faible
620,2,239.4,Agadir,Clients Réguliers,0,421,1,0.9997861,Élevé
3,11,6070.04,Casablanca,Clients à Risque / Perdus,2,144,0,0.0001866873,Faible
320,3,313.6,Rabat,Clients Réguliers,0,321,1,0.999241,Élevé
389,1,1248.42,El Jadida,Clients Réguliers,0,413,1,0.9997396,Élevé
53,1,620.13,Marrakech,Clients à Risque / Perdus,2,212,0,0.00032832907,Faible
7,10,11444.68,El Jadida,Clients à Risque / Perdus,2,144,0,0.0001866873,Faible
146,3,2744.03,Agadir,Clients à Risque / Perdus,2,324,0,0.00028149466,Faible
5,7,3760.29,Meknès,Clients à Risque / Perdus,2,134,0,0.0001866873,Faible
601,1,2622.481,Agadir,Clients Réguliers,0,414,1,0.9997967,Élevé
325,2,437.05,Marrakech,Clients Réguliers,0,322,1,0.99976915,Élevé
322,2,840.4,Casablanca,Clients Réguliers,0,322,1,0.99976844,Élevé
